-0.027299 0.121676 0.001583
-0.029675 0.140088 0.015780
-0.046116 0.126165 0.031526
-0.020573 0.153165 0.055860
-0.022711 0.144969 0.024222
0.035976 0.144938 0.024328
0.006788 0.161200 0.055305
0.033861 0.153085 0.055812
0.059452 0.126280 0.031518
0.042812 0.140149 0.015567
0.040457 0.121689 0.001579
-0.024445 0.115642 0.007295
-0.038847 0.115071 0.020613
-0.045163 0.118139 0.038809
-0.039406 0.128050 0.043589
-0.024007 0.143688 0.054299
-0.008739 0.134404 0.045909
0.006633 0.106262 0.009438
0.021970 0.134541 0.045856
0.037470 0.143510 0.054124
0.052503 0.127853 0.043229
0.058513 0.118121 0.039014
0.052178 0.115099 0.020763
0.037648 0.115500 0.007059
