-0.591348 0.318717 -0.740761
-0.757376 0.469256 -0.454070
-0.777338 0.531653 -0.336290
-0.488438 0.843752 0.222511
0.750517 0.530265 -0.394390
-0.750517 0.530265 -0.394390
0.000000 0.924569 0.381015
0.488438 0.843752 0.222511
0.777338 0.531653 -0.336290
0.757376 0.469256 -0.454070
0.591348 0.318717 -0.740761
-0.584969 -0.804444 0.103350
0.019209 -0.663416 -0.748004
-0.628624 -0.673549 0.388797
0.095043 0.407066 0.908441
-0.412044 -0.536721 0.736308
0.649612 -0.589483 -0.480118
0.000000 -0.489762 0.871856
-0.649612 -0.589483 -0.480118
0.412044 -0.536721 0.736308
-0.095043 0.407066 0.908441
0.628624 -0.673549 0.388797
-0.019209 -0.663416 -0.748004
0.584969 -0.804444 0.103350
